Name,TotalMinutes,PER,TSPCT,3PAr,FTr,ORBPCT,DRBPCT,TRBPCT,ASTPCT,STLPCT,BLKPCT,TOVPCT,USGPCT,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP
Miles Bridges,2419,15.5,0.555,0.374,0.175,3.0,19.8,11.1,0.145,0.013000000000000001,1.2,0.095,0.24800000000000003,0.7,1.4,2.1,0.042,0.3,-1.2,-0.9,0.6
Oshae Brissett,574,12.6,0.548,0.397,0.527,10.0,15.8,13.1,0.087,0.013999999999999999,0.8,0.085,0.134,0.9,0.8,1.7,0.14,-1.7,0.3,-1.4,0.1
Izaiah Brockington,3,26.6,0.4,0.2,0.0,37.4,36.4,36.9,0.0,0.0,0.0,0.0,0.723,0.0,0.0,0.0,-0.175,-9.2,-8.6,-17.7,0.0
Malcolm Brogdon,1121,17.0,0.56,0.401,0.234,2.7,12.8,7.5,0.308,0.012,0.6,0.099,0.231,2.0,0.6,2.5,0.108,2.7,-0.8,2.0,1.1
Armoni Brooks,104,8.2,0.448,0.696,0.043,7.1,12.0,9.5,0.068,0.005,0.9,0.06,0.207,-0.1,0.1,0.0,-0.019,-2.1,-3.7,-5.8,-0.1
Dillon Brooks,2004,9.4,0.549,0.481,0.191,2.5,9.5,6.0,0.076,0.013999999999999999,0.4,0.099,0.17600000000000002,0.4,2.0,2.5,0.059,-3.3,-0.1,-3.4,-0.7
Bruce Brown,1748,11.6,0.56,0.286,0.242,3.3,14.0,8.6,0.132,0.015,0.8,0.11699999999999999,0.166,1.1,1.0,2.1,0.058,-2.4,-0.9,-3.3,-0.6
Bruce Brown,981,12.2,0.568,0.322,0.261,2.9,14.9,8.9,0.12400000000000001,0.017,0.6,0.105,0.167,0.8,0.6,1.5,0.073,-1.8,-0.5,-2.3,-0.1
Bruce Brown,767,10.8,0.547,0.237,0.216,3.8,13.0,8.3,0.14300000000000002,0.013000000000000001,1.0,0.133,0.163,0.2,0.4,0.6,0.039,-3.2,-1.4,-4.6,-0.5
Charlie Brown Jr.,37,-3.2,0.3,0.7,0.0,3.0,3.0,3.0,0.0,0.0,5.1,0.167,0.139,-0.1,0.0,-0.1,-0.119,-10.2,-3.3,-13.5,-0.1
Greg Brown III,40,10.5,0.501,0.273,0.818,8.3,16.4,12.3,0.128,0.0,8.8,0.21100000000000002,0.203,0.0,0.0,0.0,-0.003,-4.9,0.6,-4.3,0.0
Jaylen Brown,2216,18.9,0.583,0.325,0.246,4.0,13.3,8.9,0.17,0.017,1.3,0.10300000000000001,0.28800000000000003,2.9,3.1,6.0,0.129,1.1,-0.1,1.1,1.7
Kendall Brown,50,8.7,0.585,0.091,0.727,6.8,2.3,4.5,0.094,0.0,0.0,0.064,0.13,0.1,0.0,0.1,0.079,-3.3,-2.1,-5.4,0.0
Kobe Brown,299,5.8,0.493,0.6,0.031,4.0,13.7,9.0,0.071,0.01,0.9,0.096,0.107,0.0,0.2,0.2,0.036,-4.5,-0.1,-4.6,-0.2
Moses Brown,170,13.3,0.453,0.0,0.472,18.9,28.2,23.3,0.062000000000000006,0.009000000000000001,3.7,0.111,0.18100000000000002,-0.1,0.2,0.1,0.032,-4.7,-2.5,-7.2,-0.2
