Name,Position,Age,team,GamesPlayed,GamesStarted,MinutesGame,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AssistsGame,StealsGame,BlocksGame,TOV,PF,PointsGame
Dean Wade,PF,27,CLE,13,7,20.3,1.0,3.1,0.325,0.9,2.9,0.316,0.1,0.2,0.5,0.475,0.2,0.3,0.5,0.9,3.2,4.1,0.8,0.8,0.2,0.4,2.2,3.1
Franz Wagner,SF,22,ORL,17,17,32.8,7.5,16.5,0.452,1.5,5.2,0.292,5.9,11.3,0.526,0.498,3.1,3.7,0.825,1.1,4.5,5.6,3.2,1.2,0.4,1.9,2.2,19.5
Moritz Wagner,C,26,ORL,17,0,19.2,4.8,7.6,0.628,0.6,1.8,0.367,4.1,5.8,0.707,0.671,2.4,2.8,0.833,1.5,2.8,4.4,1.2,0.5,0.4,1.2,2.6,12.5
Ish Wainright,SF,29,POR,2,0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Jabari Walker,SF,21,POR,17,0,16.6,2.8,6.0,0.461,0.6,2.0,0.294,2.2,4.0,0.544,0.51,1.1,1.6,0.704,1.4,2.9,4.4,0.6,0.8,0.5,0.9,2.3,7.2
Jarace Walker,PF,20,IND,4,0,10.3,1.8,4.5,0.389,0.0,1.3,0.0,1.8,3.3,0.538,0.389,0.8,0.8,1.0,0.3,1.8,2.0,1.5,0.5,0.5,0.3,1.0,4.3
Lonnie Walker IV,SG,25,BRK,16,0,21.8,5.4,10.9,0.491,2.6,5.7,0.462,2.8,5.3,0.524,0.611,1.8,2.3,0.778,0.1,2.6,2.7,1.7,0.6,0.4,1.5,0.9,15.1
Cason Wallace,SG,20,OKC,17,4,22.0,2.6,4.3,0.616,1.0,1.7,0.586,1.6,2.6,0.636,0.733,0.6,0.6,0.909,0.5,1.6,2.1,1.5,0.6,0.4,0.5,1.6,6.9
P.J. Washington,PF,25,CHO,15,12,31.5,5.6,12.6,0.444,1.9,5.9,0.318,3.7,6.7,0.554,0.519,1.4,2.1,0.677,1.1,4.1,5.1,2.0,0.5,0.9,1.5,2.9,14.5
TyTy Washington Jr.,PG,22,MIL,2,0,3.0,0.5,1.5,0.333,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,1.5
Yuta Watanabe,SF,29,PHO,13,0,18.3,1.8,4.5,0.39,1.4,3.6,0.383,0.4,0.9,0.417,0.542,0.5,0.7,0.778,0.5,1.9,2.5,0.6,0.3,0.3,0.8,1.7,5.5
Lindy Waters III,SG,26,OKC,7,0,7.0,0.9,1.9,0.462,0.9,1.9,0.462,0.0,0.0,0.0,0.692,0.0,0.0,0.0,0.1,0.6,0.7,0.6,0.0,0.1,0.0,0.1,2.6
Trendon Watford,PF,23,BRK,11,0,14.8,2.8,5.5,0.508,0.5,1.1,0.417,2.4,4.5,0.531,0.549,0.7,0.8,0.889,1.1,2.6,3.7,1.8,0.6,0.2,1.4,2.3,6.8
Peyton Watson,SF,21,DEN,17,0,14.5,1.9,3.7,0.508,0.2,1.0,0.235,1.6,2.7,0.609,0.54,0.4,0.8,0.429,0.5,1.4,1.9,0.8,0.5,1.0,0.6,1.2,4.4
Victor Wembanyama,PF,20,SAS,17,17,30.1,7.1,16.4,0.43,1.5,5.4,0.275,5.6,11.1,0.505,0.475,3.6,4.4,0.824,2.1,7.4,9.5,2.6,1.3,2.6,3.6,2.6,19.2
Blake Wesley,SG,20,SAS,4,0,5.3,0.8,2.0,0.375,0.0,0.3,0.0,0.8,1.8,0.429,0.375,0.3,0.5,0.5,0.3,0.3,0.5,0.8,0.0,0.3,0.3,0.8,1.8
Russell Westbrook,PG,35,LAC,16,10,27.7,5.1,11.4,0.443,0.8,2.7,0.279,4.3,8.8,0.493,0.475,1.4,2.4,0.605,1.4,5.1,6.5,5.3,1.5,0.3,2.7,2.7,12.3
Coby White,PG,23,CHI,19,19,32.2,4.9,11.7,0.422,2.5,6.6,0.384,2.4,5.2,0.469,0.529,1.3,1.6,0.833,0.3,2.5,2.8,4.0,0.9,0.3,1.8,2.8,13.7
Derrick White,SG,29,BOS,15,15,32.2,4.5,9.5,0.469,2.1,5.5,0.39,2.3,4.1,0.574,0.58,2.8,3.3,0.84,0.7,3.1,3.7,5.1,1.1,0.8,1.8,2.3,13.9
Cam Whitmore,SF,19,HOU,3,0,7.7,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.3,0.7,0.5,0.0,1.0,1.0,0.3,0.3,0.0,0.7,0.3,2.3
Aaron Wiggins,SG,25,OKC,15,0,11.8,1.8,3.1,0.574,0.5,1.3,0.421,1.3,1.9,0.679,0.66,0.7,1.0,0.733,0.5,1.6,2.1,0.7,0.4,0.1,0.6,0.9,4.9
Andrew Wiggins,SF,28,GSW,18,18,27.2,5.1,11.7,0.433,0.9,3.3,0.267,4.2,8.3,0.5,0.471,1.8,3.0,0.593,1.9,2.4,4.4,1.2,0.3,0.4,1.8,2.6,12.8
Lindell Wigginton,PG,25,MIL,1,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Grant Williams,PF,25,DAL,17,17,28.8,3.4,7.6,0.442,2.4,5.5,0.43,1.0,2.1,0.472,0.597,0.7,1.2,0.571,1.1,2.5,3.6,1.6,0.2,0.6,0.9,2.6,9.8
Jalen Williams,PF,22,OKC,14,14,33.2,6.2,12.4,0.5,1.0,2.9,0.341,5.2,9.5,0.549,0.54,3.6,4.1,0.877,0.2,3.8,4.0,3.6,0.8,0.3,2.1,3.1,17.0
Jaylin Williams,C,21,OKC,12,0,13.8,1.4,4.0,0.354,0.6,2.2,0.269,0.8,1.8,0.455,0.427,0.4,0.5,0.833,0.7,3.4,4.1,1.8,0.4,0.2,0.4,2.0,3.8
Jeenathan Williams,SG,24,HOU,3,0,5.3,1.7,3.0,0.556,0.0,0.7,0.0,1.7,2.3,0.714,0.556,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,3.7
Kenrich Williams,PF,29,OKC,7,0,17.1,2.6,4.1,0.621,1.0,1.9,0.538,1.6,2.3,0.688,0.741,0.3,0.9,0.333,0.7,2.0,2.7,1.9,0.3,0.0,0.1,2.3,6.4
Mark Williams,C,22,CHO,16,16,26.7,5.4,8.1,0.674,0.0,0.0,0.0,5.4,8.1,0.674,0.674,2.6,3.6,0.707,4.2,6.0,10.2,1.3,0.9,0.9,0.9,2.5,13.4
Patrick Williams,PF,22,CHI,19,9,23.8,2.6,6.7,0.394,1.1,3.0,0.351,1.6,3.7,0.429,0.472,1.2,1.5,0.821,1.1,2.9,3.9,1.2,0.9,0.8,1.2,1.5,7.5
Robert Williams,C,26,POR,6,0,19.8,2.8,4.3,0.654,0.0,0.0,0.0,2.8,4.3,0.654,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8
Vince Williams Jr.,SG,23,MEM,8,0,9.5,0.6,2.1,0.294,0.5,1.9,0.267,0.1,0.3,0.5,0.412,0.9,1.0,0.875,0.1,1.6,1.8,0.8,0.3,0.6,0.3,1.4,2.6
